method,generation,samples,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_count,best_so_far_mean,best_so_far_std,best_so_far_min,best_so_far_max,fitness_ci_lower,fitness_ci_upper,best_ci_lower,best_ci_upper
ga,62,126000,-0.1191,0.2521,-1.001,-0.001,50,-0.1141,0.2519,-1.001,-0.001,-0.18897855485855442,-0.04922144514144558,-0.1839231176869094,-0.0442768823130906
ga,63,128000,-0.1191,0.2521,-1.001,-0.001,50,-0.1141,0.2519,-1.001,-0.001,-0.18897855485855442,-0.04922144514144558,-0.1839231176869094,-0.0442768823130906
ga,64,130000,-0.1191,0.2521,-1.001,-0.001,50,-0.1141,0.2519,-1.001,-0.001,-0.18897855485855442,-0.04922144514144558,-0.1839231176869094,-0.0442768823130906
ga,65,132000,-0.1191,0.2521,-1.001,-0.001,50,-0.1141,0.2519,-1.001,-0.001,-0.18897855485855442,-0.04922144514144558,-0.1839231176869094,-0.0442768823130906
ga,66,134000,-0.1191,0.2519,-1.001,-0.001,50,-0.1141,0.2517,-1.001,-0.001,-0.1889231176869094,-0.0492768823130906,-0.18386768051526436,-0.044332319484735636
ga,67,136000,-0.1101,0.2459,-1.001,-0.001,50,-0.1051,0.2455,-1.001,-0.001,-0.17826000253755864,-0.04193999746244137,-0.1731491281942686,-0.03705087180573141
ga,68,138000,-0.1031,0.2395,-1.001,-0.001,50,-0.0981,0.2389,-1.001,-0.001,-0.1694860130449178,-0.036713986955082184,-0.16431970152998276,-0.03188029847001726
ga,69,140000,-0.1031,0.2395,-1.001,-0.001,50,-0.0981,0.2389,-1.001,-0.001,-0.1694860130449178,-0.036713986955082184,-0.16431970152998276,-0.03188029847001726
ga,70,142000,-0.0861,0.2252,-1.001,-0.001,50,-0.0851,0.2255,-1.001,-0.001,-0.1485222552722985,-0.023677744727701483,-0.14760541102976604,-0.022594588970233948
ga,71,144000,-0.0831,0.2182,-1.001,-0.001,50,-0.0822,0.2185,-1.001,-0.001,-0.14358195426472262,-0.022618045735277363,-0.14276511002219017,-0.02163488997780983
ga,72,146000,-0.0702,0.1924,-1.001,-0.001,50,-0.0692,0.1926,-1.001,-0.001,-0.12353055912251436,-0.01686944087748564,-0.1225859962941594,-0.01581400370584061
ga,73,148000,-0.0701,0.1924,-1.001,-0.001,50,-0.0692,0.1927,-1.001,-0.001,-0.12343055912251436,-0.016769440877485636,-0.1226137148799819,-0.015786285120018097
ga,74,150000,-0.0601,0.1823,-1.001,-0.001,50,-0.0591,0.1825,-1.001,-0.001,-0.11063098195444057,-0.009569018045559423,-0.1096864191260856,-0.008513580873914399
ga,75,152000,-0.0601,0.1823,-1.001,-0.001,50,-0.0591,0.1825,-1.001,-0.001,-0.11063098195444057,-0.009569018045559423,-0.1096864191260856,-0.008513580873914399
ga,76,154000,-0.0571,0.182,-1.001,-0.001,50,-0.0561,0.1822,-1.001,-0.001,-0.10754782619697303,-0.006652173803026955,-0.10660326336861806,-0.005596736631381931
ga,77,156000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,78,158000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,79,160000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,80,162000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,81,164000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,82,166000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,83,168000,-0.0431,0.1368,-0.501,-0.001,50,-0.0421,0.1369,-0.501,-0.001,-0.08101902540519731,-0.005180974594802684,-0.08004674399101983,-0.004153256008980165
ga,84,170000,-0.0421,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.08004674399101983,-0.004153256008980165,-0.07907446257684235,-0.0031255374231576455
ga,85,172000,-0.0421,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.08004674399101983,-0.004153256008980165,-0.07907446257684235,-0.0031255374231576455
ga,86,174000,-0.0421,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.08004674399101983,-0.004153256008980165,-0.07907446257684235,-0.0031255374231576455
ga,87,176000,-0.042,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07907446257684235,-0.0031255374231576455
ga,88,178000,-0.042,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07907446257684235,-0.0031255374231576455
ga,89,180000,-0.042,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07907446257684235,-0.0031255374231576455
ga,90,182000,-0.042,0.1369,-0.501,-0.001,50,-0.0411,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07907446257684235,-0.0031255374231576455
ga,91,184000,-0.042,0.1369,-0.501,-0.001,50,-0.041,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07897446257684235,-0.0030255374231576496
ga,92,186000,-0.042,0.1369,-0.501,-0.001,50,-0.041,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07897446257684235,-0.0030255374231576496
ga,93,188000,-0.042,0.1369,-0.501,-0.001,50,-0.041,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07897446257684235,-0.0030255374231576496
ga,94,190000,-0.042,0.1369,-0.501,-0.001,50,-0.041,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07897446257684235,-0.0030255374231576496
ga,95,192000,-0.042,0.1369,-0.501,-0.001,50,-0.041,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07897446257684235,-0.0030255374231576496
ga,96,194000,-0.042,0.1369,-0.501,-0.001,50,-0.041,0.137,-0.501,-0.001,-0.07994674399101984,-0.004053256008980169,-0.07897446257684235,-0.0030255374231576496
ga,97,196000,-0.032,0.1199,-0.501,-0.001,50,-0.0311,0.1199,-0.501,-0.001,-0.06523458440119267,0.0012345844011926801,-0.06433458440119268,0.0021345844011926816
ga,98,198000,-0.032,0.1199,-0.501,-0.001,50,-0.0311,0.1199,-0.501,-0.001,-0.06523458440119267,0.0012345844011926801,-0.06433458440119268,0.0021345844011926816
ga,99,200000,-0.032,0.1199,-0.501,-0.001,50,-0.031,0.1199,-0.501,-0.001,-0.06523458440119267,0.0012345844011926801,-0.06423458440119267,0.002234584401192681
random_search,0,2000,-6.5222,1.9332,-10.001,-1.553,50,-6.5222,1.9332,-10.001,-1.553,-7.058055701120814,-5.986344298879185,-7.058055701120814,-5.986344298879185
random_search,1,4000,-5.3899,1.6281,-9.505,-1.553,50,-5.3899,1.6281,-9.505,-1.553,-5.841186295776328,-4.9386137042236715,-5.841186295776328,-4.9386137042236715
random_search,2,6000,-5.017,1.4778,-7.852,-1.553,50,-5.017,1.4778,-7.852,-1.553,-5.426625261285093,-4.607374738714908,-5.426625261285093,-4.607374738714908
random_search,3,8000,-4.7811,1.401,-7.852,-1.553,50,-4.7811,1.401,-7.852,-1.553,-5.169437387373403,-4.392762612626598,-5.169437387373403,-4.392762612626598
random_search,4,10000,-4.526,1.1952,-7.002,-1.553,50,-4.526,1.1952,-7.002,-1.553,-4.857292537750671,-4.194707462249329,-4.857292537750671,-4.194707462249329
random_search,5,12000,-4.329,1.1809,-7.002,-1.553,50,-4.329,1.1809,-7.002,-1.553,-4.656328779978052,-4.001671220021947,-4.656328779978052,-4.001671220021947
random_search,6,14000,-4.163,1.1925,-6.503,-1.553,50,-4.163,1.1925,-6.503,-1.553,-4.493544135933464,-3.832455864066537,-4.493544135933464,-3.832455864066537
random_search,7,16000,-4.047,1.1988,-6.503,-1.553,50,-4.047,1.1988,-6.503,-1.553,-4.379290406840282,-3.714709593159718,-4.379290406840282,-3.714709593159718
random_search,8,18000,-3.9508,1.1591,-6.003,-1.553,50,-3.9508,1.1591,-6.003,-1.553,-4.272086128268745,-3.629513871731256,-4.272086128268745,-3.629513871731256
random_search,9,20000,-3.7608,1.0842,-5.302,-1.553,50,-3.7608,1.0842,-5.302,-1.553,-4.061324907487682,-3.460275092512318,-4.061324907487682,-3.460275092512318
random_search,10,22000,-3.6908,1.0624,-5.302,-1.553,50,-3.6908,1.0624,-5.302,-1.553,-3.9852822557783742,-3.3963177442216255,-3.9852822557783742,-3.3963177442216255
random_search,11,24000,-3.6908,1.0623,-5.302,-1.553,50,-3.6908,1.0623,-5.302,-1.553,-3.985254537192552,-3.3963454628074476,-3.985254537192552,-3.3963454628074476
random_search,12,26000,-3.6207,1.0141,-5.302,-1.553,50,-3.6207,1.0141,-5.302,-1.553,-3.901794178826101,-3.339605821173899,-3.901794178826101,-3.339605821173899
random_search,13,28000,-3.5458,0.9789,-5.302,-1.553,50,-3.5458,0.9789,-5.302,-1.553,-3.8171372366165763,-3.2744627633834233,-3.8171372366165763,-3.2744627633834233
random_search,14,30000,-3.5119,0.9666,-5.302,-1.553,50,-3.5119,0.9666,-5.302,-1.553,-3.779827850560407,-3.2439721494395926,-3.779827850560407,-3.2439721494395926
